Title,Genre,Director,Year,Runtime (Minutes),Rating,Votes
X-Men: Days of Future Past,Action,Bryan Singer,2014,132,8,552298
Jack Reacher: Never Go Back,Action,Edward Zwick,2016,118,6.1,78043
Casino Royale,Action,Martin Campbell,2006,144,8,495106
Twilight,Drama,Catherine Hardwicke,2008,122,5.2,361449
Now You See Me 2,Action,Jon M. Chu,2016,129,6.5,156567
Woman in Gold,Biography,Simon Curtis,2015,109,7.3,39723
13 Hours,Action,Michael Bay,2016,144,7.3,76935
Spectre,Action,Sam Mendes,2015,148,6.8,308981
Nightcrawler,Crime,Dan Gilroy,2014,118,7.9,332476
Kubo and the Two Strings,Animation,Travis Knight,2016,101,7.9,72778
Beyond the Gates,Adventure,Jackson Stewart,2016,84,5.2,2127
Her,Drama,Spike Jonze,2013,126,8,390531
Frozen,Animation,Chris Buck,2013,102,7.5,451894
Tomorrowland,Action,Brad Bird,2015,130,6.5,143069
Dawn of the Planet of the Apes,Action,Matt Reeves,2014,130,7.6,337777
Tropic Thunder,Action,Ben Stiller,2008,107,7,321442
The Conjuring 2,Horror,James Wan,2016,134,7.4,137203
Ant-Man,Action,Peyton Reed,2015,117,7.3,368912
Bridget Jones's Baby,Comedy,Sharon Maguire,2016,118,6.7,43086
The VVitch: A New-England Folktale,Horror,Robert Eggers,2015,92,6.8,101781
Cinderella,Drama,Kenneth Branagh,2015,105,7,117018
Realive,Sci-Fi,Mateo Gil,2016,112,5.9,1176
Forushande,Drama,Asghar Farhadi,2016,124,8,22389
Love,Drama,Gaspar NoÃ©,2015,135,6,24003
Billy Lynn's Long Halftime Walk,Drama,Ang Lee,2016,113,6.3,11944
Crimson Peak,Drama,Guillermo del Toro,2015,119,6.6,97454
Drive,Crime,Nicolas Winding Refn,2011,100,7.8,461509
Trainwreck,Comedy,Judd Apatow,2015,125,6.3,106364
The Light Between Oceans,Drama,Derek Cianfrance,2016,133,7.2,27382
Below Her Mouth,Drama,April Mullen,2016,94,5.6,1445
Spotlight,Crime,Tom McCarthy,2015,128,8.1,268282
Morgan,Horror,Luke Scott,2016,92,5.8,22107
Warrior,Action,Gavin O'Connor,2011,140,8.2,355722
Captain America: The First Avenger,Action,Joe Johnston,2011,124,6.9,547368
Hacker,Crime,Akan Satayev,2016,95,6.3,3799
Into the Wild,Adventure,Sean Penn,2007,148,8.1,459304
The Imitation Game,Biography,Morten Tyldum,2014,114,8.1,532353
Central Intelligence,Action,Rawson Marshall Thurber,2016,107,6.3,97082
Edge of Tomorrow,Action,Doug Liman,2014,113,7.9,471815
A Cure for Wellness,Drama,Gore Verbinski,2016,146,6.5,12193
Snowden,Biography,Oliver Stone,2016,134,7.3,79855
Iron Man,Action,Jon Favreau,2008,126,7.9,737719
Allegiant,Action,Robert Schwentke,2016,120,5.7,70504
X: First Class,Action,Matthew Vaughn,2011,132,7.8,550011
Raw (II),Drama,Julia Ducournau,2016,99,7.5,5435
Paterson,Comedy,Jim Jarmusch,2016,118,7.5,26089
Bridesmaids,Comedy,Paul Feig,2011,125,6.8,227912
The Girl with All the Gifts,Drama,Colm McCarthy,2016,111,6.7,23713
San Andreas,Action,Brad Peyton,2015,114,6.1,161396
Spring Breakers,Drama,Harmony Korine,2012,94,5.3,114290
Transformers,Action,Michael Bay,2007,144,7.1,531112
Old Boy,Action,Spike Lee,2013,104,5.8,54679
Thor: The Dark World,Action,Alan Taylor,2013,112,7,443584
Gods of Egypt,Action,Alex Proyas,2016,126,5.5,73568
Captain America: The Winter Soldier,Action,Anthony Russo,2014,136,7.8,542362
Monster Trucks,Action,Chris Wedge,2016,104,5.7,7044
A Dark Song,Drama,Liam Gavin,2016,100,6.1,1703
Kick-Ass,Action,Matthew Vaughn,2010,117,7.7,456749
Hardcore Henry,Action,Ilya Naishuller,2015,96,6.7,61098
Cars,Animation,John Lasseter,2006,117,7.1,283445
It Follows,Horror,David Robert Mitchell,2014,100,6.9,136399
The Girl with the Dragon Tattoo,Crime,David Fincher,2011,158,7.8,348551
We're the Millers,Comedy,Rawson Marshall Thurber,2013,110,7,334867
American Honey,Drama,Andrea Arnold,2016,163,7,19660
The Lobster,Comedy,Yorgos Lanthimos,2015,119,7.1,121313
Predators,Action,NimrÃ³d Antal,2010,107,6.4,179450
Maleficent,Action,Robert Stromberg,2014,97,7,268877
Rupture,Horror,Steven Shainberg,2016,102,4.8,2382
Pan's Labyrinth,Drama,Guillermo del Toro,2006,118,8.2,498879
A Kind of Murder,Crime,Andy Goddard,2016,95,5.2,3305
Apocalypto,Action,Mel Gibson,2006,139,7.8,247926
Mission: Impossible - Rogue Nation,Action,Christopher McQuarrie,2015,131,7.4,257472
The Huntsman: Winter's War,Action,Cedric Nicolas-Troyan,2016,114,6.1,66766
The Perks of Being a Wallflower,Drama,Stephen Chbosky,2012,102,8,377336
Jackie,Biography,Pablo LarraÃ­n,2016,100,6.8,41446
The Disappointments Room,Drama,D.J. Caruso,2016,85,3.9,4895
The Grand Budapest Hotel,Adventure,Wes Anderson,2014,99,8.1,530881
The Host,Action,Andrew Niccol,2013,125,5.9,96852
Fury,Action,David Ayer,2014,134,7.6,332234
Inside Out,Animation,Pete Docter,2015,95,8.2,416689
Rock Dog,Animation,Ash Brannon,2016,90,5.8,1109
Terminator Genisys,Action,Alan Taylor,2015,126,6.5,205365
Percy Jackson & the Olympians: The Lightning Thief,Adventure,Chris Columbus,2010,118,5.9,148949
Les MisÃ©rables,Drama,Tom Hooper,2012,158,7.6,257426
Children of Men,Drama,Alfonso CuarÃ³n,2006,109,7.9,382910
20th Century Women,Comedy,Mike Mills,2016,119,7.4,14708
Spy,Action,Paul Feig,2015,119,7.1,188017
The Intouchables,Biography,Olivier Nakache,2011,112,8.6,557965
Bonjour Anne,Comedy,Eleanor Coppola,2016,92,4.9,178
Kynodontas,Drama,Yorgos Lanthimos,2009,94,7.3,50946
Straight Outta Compton,Biography,F. Gary Gray,2015,147,7.9,139831
The Amazing Spider-Man 2,Action,Marc Webb,2014,142,6.7,342183
The Conjuring,Horror,James Wan,2013,112,7.5,330305
The Hangover,Comedy,Todd Phillips,2009,100,7.8,611563
Battleship,Action,Peter Berg,2012,131,5.8,210349
Rise of the Planet of the Apes,Action,Rupert Wyatt,2011,105,7.6,422290
Lights Out,Horror,David F. Sandberg,2016,81,6.4,69823
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Drama,Joseph Cedar,2016,118,7.1,664
Birdman or (The Unexpected Virtue of Ignorance),Comedy,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,2014,119,7.8,440299
Black Swan,Drama,Darren Aronofsky,2010,108,8,581518
Dear White People,Comedy,Justin Simien,2014,108,6.2,21715
Nymphomaniac: Vol. I,Drama,Lars von Trier,2013,117,7,90556
Teenage Mutant Ninja Turtles: Out of the Shadows,Action,Dave Green,2016,112,6,59312
Knock Knock,Drama,Eli Roth,2015,99,4.9,53441
Dirty Grandpa,Comedy,Dan Mazer,2016,102,6,75137
Cloud Atlas,Drama,Tom Tykwer,2012,172,7.5,298651
X-Men Origins: Wolverine,Action,Gavin Hood,2009,107,6.7,388447
Satanic,Horror,Jeffrey G. Hunt,2016,85,3.7,2384
Skyfall,Action,Sam Mendes,2012,143,7.8,547386
The Hobbit: An Unexpected Journey,Adventure,Peter Jackson,2012,169,7.9,668651
21 Jump Street,Action,Phil Lord,2012,110,7.2,432046
Sing Street,Comedy,John Carney,2016,106,8,52144
Ballerina,Animation,Eric Summer,2016,89,6.8,4729
Oblivion,Action,Joseph Kosinski,2013,124,7,410125
22 Jump Street,Action,Phil Lord,2014,112,7.1,280110
Zodiac,Crime,David Fincher,2007,157,7.7,329683
Everybody Wants Some!!,Comedy,Richard Linklater,2016,117,7,36312
Iron Man Three,Action,Shane Black,2013,130,7.2,591023
Now You See Me,Crime,Louis Leterrier,2013,115,7.3,492324
Sherlock Holmes,Action,Guy Ritchie,2009,128,7.6,501769
Death Proof,Thriller,Quentin Tarantino,2007,113,7.1,220236
The Danish Girl,Biography,Tom Hooper,2015,119,7,110773
Hercules,Action,Brett Ratner,2014,98,6,122838
Sucker Punch,Action,Zack Snyder,2011,110,6.1,204874
Keeping Up with the Joneses,Action,Greg Mottola,2016,105,5.8,30405
Jupiter Ascending,Action,Lana Wachowski,2015,127,5.3,150121
Masterminds,Action,Jared Hess,2016,95,5.8,26508
Iris,Thriller,Jalil Lespert,2016,99,6.1,726
Busanhaeng,Action,Sang-ho Yeon,2016,118,7.5,58782
Pitch Perfect,Comedy,Jason Moore,2012,112,7.2,226631
Neighbors 2: Sorority Rising,Comedy,Nicholas Stoller,2016,92,5.7,76327
The Exception,Drama,David Leveaux,2016,107,7.7,96
Man of Steel,Action,Zack Snyder,2013,143,7.1,577010
The Choice,Drama,Ross Katz,2016,111,6.6,20514
Ice Age: Collision Course,Animation,Mike Thurmeier,2016,94,5.7,34523
The Devil Wears Prada,Comedy,David Frankel,2006,109,6.8,302268
The Infiltrator,Biography,Brad Furman,2016,127,7.1,43929
There Will Be Blood,Drama,Paul Thomas Anderson,2007,158,8.1,400682
The Equalizer,Action,Antoine Fuqua,2014,132,7.2,249425
Lone Survivor,Action,Peter Berg,2013,121,7.5,218996
The Cabin in the Woods,Horror,Drew Goddard,2012,95,7,295554
The House Bunny,Comedy,Fred Wolf,2008,97,5.5,67033
She's Out of My League,Comedy,Jim Field Smith,2010,104,6.4,105619
Inherent Vice,Comedy,Paul Thomas Anderson,2014,148,6.7,69509
Alice Through the Looking Glass,Adventure,James Bobin,2016,113,6.2,57207
Vincent N Roxxy,Crime,Gary Michael Schultz,2016,110,5.5,403
The Fast and the Furious: Tokyo Drift,Action,Justin Lin,2006,104,6,193479
How to Be Single,Comedy,Christian Ditter,2016,110,6.1,59886
The Blind Side,Biography,John Lee Hancock,2009,129,7.7,237221
La vie d'AdÃ¨le,Drama,Abdellatif Kechiche,2013,180,7.8,103150
The Babadook,Drama,Jennifer Kent,2014,93,6.8,132580
The Hobbit: The Battle of the Five Armies,Adventure,Peter Jackson,2014,144,7.4,385598
Harry Potter and the Order of the Phoenix,Adventure,David Yates,2007,138,7.5,385325
Snowpiercer,Action,Bong Joon Ho,2013,126,7,199048
The 5th Wave,Action,J Blakeson,2016,112,5.2,73093
The Stakelander,Action,Dan Berk,2016,81,5.3,1263
The Visit,Comedy,M. Night Shyamalan,2015,94,6.2,81429
Fast Five,Action,Justin Lin,2011,131,7.3,300803
Step Up,Crime,Anne Fletcher,2006,104,6.5,95960
Lovesong,Drama,So Yong Kim,2016,84,6.4,616
RocknRolla,Action,Guy Ritchie,2008,114,7.3,203096
In Time,Action,Andrew Niccol,2011,109,6.7,319025
The Social Network,Biography,David Fincher,2010,120,7.7,510100
The Last Witch Hunter,Action,Breck Eisner,2015,106,6,71149
Victor Frankenstein,Drama,Paul McGuigan,2015,110,6,37975
A Street Cat Named Bob,Biography,Roger Spottiswoode,2016,103,7.4,12643
Green Room,Crime,Jeremy Saulnier,2015,95,7,62885
Blackhat,Crime,Michael Mann,2015,133,5.4,43085
Storks,Animation,Nicholas Stoller,2016,87,6.9,34248
American Sniper,Action,Clint Eastwood,2014,133,7.3,353305
Dallas Buyers Club,Biography,Jean-Marc VallÃ©e,2013,117,8,352801
Lincoln,Biography,Steven Spielberg,2012,150,7.4,207497
Rush,Action,Ron Howard,2013,123,8.1,339722
Before I Wake,Drama,Mike Flanagan,2016,97,6.1,18201
Silver Linings Playbook,Comedy,David O. Russell,2012,122,7.8,564364
Tracktown,Drama,Alexi Pappas,2016,88,5.9,115
The Fault in Our Stars,Drama,Josh Boone,2014,126,7.8,271301
Blended,Comedy,Frank Coraci,2014,117,6.5,93764
Fast & Furious,Action,Justin Lin,2009,107,6.6,217464
Looper,Action,Rian Johnson,2012,119,7.4,452369
White House Down,Action,Roland Emmerich,2013,131,6.4,173320
Pete's Dragon,Adventure,David Lowery,2016,102,6.8,36322
Spider-Man 3,Action,Sam Raimi,2007,139,6.2,406219
The Three Musketeers,Action,Paul W.S. Anderson,2011,110,5.8,92329
Stardust,Adventure,Matthew Vaughn,2007,127,7.7,220664
American Hustle,Crime,David O. Russell,2013,138,7.3,379088
Jennifer's Body,Comedy,Karyn Kusama,2009,102,5.1,96617
Midnight in Paris,Comedy,Woody Allen,2011,94,7.7,320323
Lady Macbeth,Drama,William Oldroyd,2016,89,7.3,1396
Joy,Drama,David O. Russell,2015,124,6.6,97679
The Dressmaker,Comedy,Jocelyn Moorhouse,2015,119,7.1,33352
CafÃ© Society,Comedy,Woody Allen,2016,96,6.7,45579
Insurgent,Adventure,Robert Schwentke,2015,119,6.3,171970
Seventh Son,Action,Sergei Bodrov,2014,102,5.5,59958
Demain tout commence,Comedy,Hugo GÃ©lin,2016,118,7.4,5496
The Theory of Everything,Biography,James Marsh,2014,123,7.7,299718
This Is the End,Comedy,Evan Goldberg,2013,107,6.6,327838
About Time,Comedy,Richard Curtis,2013,123,7.8,221600
Step Brothers,Comedy,Adam McKay,2008,98,6.9,223065
Clown,Horror,Jon Watts,2014,100,5.7,14248
Star Trek Into Darkness,Action,J.J. Abrams,2013,132,7.8,417663
Zombieland,Adventure,Ruben Fleischer,2009,88,7.7,409403
"Hail, Caesar!",Comedy,Ethan Coen,2016,106,6.3,89059
Slumdog Millionaire,Drama,Danny Boyle,2008,120,8,677044
The Twilight Saga: Breaking Dawn - Part 2,Adventure,Bill Condon,2012,115,5.5,194329
American Wrestler: The Wizard,Drama,Alex Ranarivelo,2016,117,6.9,286
The Amazing Spider-Man,Action,Marc Webb,2012,136,7,474320
Ben-Hur,Action,Timur Bekmambetov,2016,123,5.7,28326
Sleight,Action,J.D. Dillard,2016,89,6,702
The Maze Runner,Action,Wes Ball,2014,113,6.8,335531
Criminal,Action,Ariel Vromen,2016,113,6.3,38430
Wanted,Action,Timur Bekmambetov,2008,110,6.7,312495
Florence Foster Jenkins,Biography,Stephen Frears,2016,111,6.9,31776
Collide,Action,Eran Creevy,2016,99,5.7,7583
Black Mass,Biography,Scott Cooper,2015,123,6.9,135706
Creed,Drama,Ryan Coogler,2015,133,7.6,175673
Swiss Army Man,Adventure,Dan Kwan,2016,97,7.1,61812
The Expendables 3,Action,Patrick Hughes,2014,126,6.1,137568
What We Do in the Shadows,Comedy,Jemaine Clement,2014,86,7.6,84016
Southpaw,Drama,Antoine Fuqua,2015,124,7.4,169083
Hush,Horror,Mike Flanagan,2016,81,6.6,45867
Bridge of Spies,Drama,Steven Spielberg,2015,142,7.6,217938
The Lego Movie,Animation,Phil Lord,2014,100,7.8,266508
Everest,Action,Baltasar KormÃ¡kur,2015,121,7.1,154647
Pixels,Action,Chris Columbus,2015,105,5.6,101092
Robin Hood,Action,Ridley Scott,2010,140,6.7,221117
The Wolverine,Action,James Mangold,2013,126,6.7,355362
John Carter,Action,Andrew Stanton,2012,132,6.6,220667
Keanu,Action,Peter Atencio,2016,100,6.3,31913
The Gunman,Action,Pierre Morel,2015,115,5.8,31194
Steve Jobs,Biography,Danny Boyle,2015,122,7.2,116112
Whisky Galore,Comedy,Gillies MacKinnon,2016,98,5,102
Grown Ups 2,Comedy,Dennis Dugan,2013,101,5.4,114482
The Age of Adaline,Drama,Lee Toland Krieger,2015,112,7.2,112288
The Incredible Hulk,Action,Louis Leterrier,2008,112,6.8,342355
Couples Retreat,Comedy,Peter Billingsley,2009,113,5.5,86417
Absolutely Anything,Comedy,Terry Jones,2015,85,6,26587
Magic Mike,Comedy,Steven Soderbergh,2012,110,6.1,113686
Minions,Animation,Kyle Balda,2015,91,6.4,159830
The Black Room,Horror,Rolfe Kanefsky,2016,91,3.9,240
Bronson,Action,Nicolas Winding Refn,2008,92,7.1,93972
Despicable Me,Animation,Pierre Coffin,2010,95,7.7,410607
The Best of Me,Drama,Michael Hoffman,2014,118,6.7,49041
The Invitation,Drama,Karyn Kusama,2015,100,6.7,40529
Zero Dark Thirty,Drama,Kathryn Bigelow,2012,157,7.4,226661
Tangled,Animation,Nathan Greno,2010,100,7.8,316459
The Hunger Games: Mockingjay - Part 2,Action,Francis Lawrence,2015,137,6.6,202380
Vacation,Adventure,John Francis Daley,2015,99,6.1,74589
Taken,Action,Pierre Morel,2008,93,7.8,502961
Pitch Perfect 2,Comedy,Elizabeth Banks,2015,115,6.5,108306
Monsters University,Animation,Dan Scanlon,2013,104,7.3,252119
Elle,Crime,Paul Verhoeven,2016,130,7.2,35417
Mechanic: Resurrection,Action,Dennis Gansel,2016,98,5.6,48161
Tusk,Comedy,Kevin Smith,2014,102,5.4,34546
The Headhunter's Calling,Drama,Mark Williams,2016,108,6.9,164
Atonement,Drama,Joe Wright,2007,123,7.8,202890
Harry Potter and the Deathly Hallows: Part 1,Adventure,David Yates,2010,146,7.7,357213
Shame,Drama,Steve McQueen,2011,101,7.2,155010
Hanna,Action,Joe Wright,2011,111,6.8,164208
The Babysitters,Drama,David Ross,2007,88,5.7,8914
Pride and Prejudice and Zombies,Action,Burr Steers,2016,108,5.8,35003
300: Rise of an Empire,Action,Noam Murro,2014,102,6.2,237887
London Has Fallen,Action,Babak Najafi,2016,99,5.9,100702
The Curious Case of Benjamin Button,Drama,David Fincher,2008,166,7.8,485075
